dev_num,dev_id_token,cachesize_limit,TransA,TransB,alpha,beta,M,N,K,Asloc,Bsloc,Csloc,CsOutloc,flops,bytes,loc_str,imp,plot_order,T,timer,pred_t,pred_J,perf,energy,EDP,PDP,Performance (Tflops)
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,-1,-1,0,0,20002000000,168000000,100,cuBLASXt,0,-1.0,0.0810988185,0.0,0.0,246.84421613688565,32.439527399999996,152.4576094803851,0.6171105403422141,0.2410588048211774
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,-1,-1,0,0,20002000000,168000000,100,qeta-mineta-auto-reptile-fastev,3,1000.0,0.010082828,0.0,0.0,1983.7693492251287,4.0331312,9838.354605515317,4.959423373062822,1.9372747551026648
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,-1,-1,0,0,20002000000,168000000,100,taco-paralia-1.5-fixed-streams,2,1000.0,0.011345273818181819,0.0,0.0,1763.2798450216321,4.538109527272727,7773.9991711137645,4.40819961255408,1.7219529736539376
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,0,0,0,0,20002000000,168000000,111,XKBLAS,1,1600.0,0.024912103636363637,0.0,0.0,807.4859378151752,9.964841454545455,1638.6322208601694,2.0187148445379384,0.7885604861476321
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,0,0,0,0,20002000000,168000000,111,cuBLASXt,0,-1.0,0.019080687,0.0,0.0,1049.705504536655,7.6322748,2758.2556002654514,2.6242637613416377,1.0251030317740772
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,0,0,0,0,20002000000,168000000,111,qeta-mineta-auto-reptile-fastev,3,1000.0,0.0016527891,0.0,0.0,12102.114502544504,0.66111564,366157.41384042724,30.255286256361263,11.818471193891117
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,4,2,-1,-1,20002000000,168000000,35,taco-paralia-1.5-fixed-streams,2,1000.0,0.0034043463636363636,0.0,0.0,5883.319433673996,1.3617385454545454,86646.70693646623,14.708298584184988,5.745429134447262
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,4,2,-1,8,20002000000,168000000,35,XKBLAS,1,1600.0,0.04468552018181818,0.0,0.0,448.53456250972107,17.874208072727274,504.0067136995045,1.1213364062743028,0.4380220337008995
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,4,2,-1,9,20002000000,168000000,35,cuBLASXt,0,-1.0,0.039327192999999996,0.0,0.0,510.87213541793426,15.7308772,655.3073692005783,1.2771803385448357,0.4988985697440764
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,4,2,-1,9,20002000000,168000000,35,qeta-mineta-auto-reptile-fastev,3,1000.0,0.0024742007,0.0,0.0,8084.405283300145,0.98968028,163397.6377532455,20.211013208250364,7.894927034472798
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,4,2,7,7,20002000000,168000000,835,XKBLAS,1,1600.0,0.04446563945454546,0.0,0.0,450.9715985396232,17.78625578181818,509.77773461232243,1.127428996349058,0.44040195169885077
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,4,2,7,7,20002000000,168000000,835,cuBLASXt,0,-1.0,0.038616896,0.0,0.0,518.9153390261848,15.446758399999998,674.4159139581773,1.2972883475654622,0.5067532607677586
1,1,-1, N,N,1.2345,1.1154,1000,1000,10000,4,2,7,7,20002000000,168000000,835,qeta-mineta-auto-reptile-fastev,3,1000.0,0.0019233704000000001,0.0,0.0,10399.970463904663,0.7693481600000001,270411.88756102714,25.999926159761657,10.156221156156898
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,-1,-1,270018000000,792000000,0,taco-paralia-1.5-fixed-streams,2,1500.0,0.05240347836363637,0.0,0.0,5152.710527426901,20.961391345454548,66376.54500879635,12.881776318567251,5.031943874440333
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,-1,8,270018000000,792000000,0,XKBLAS,1,1600.0,0.08727482900000001,0.0,0.0,3095.774088240071,34.9099316,23974.167290858753,7.739435220600177,3.023216883046944
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,-1,9,270018000000,792000000,0,cuBLASXt,0,-1.0,0.20274017818181816,0.0,0.0,1331.9564232728465,81.09607127272727,4435.631972792129,3.3298910581821164,1.3007386946023891
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,-1,9,270018000000,792000000,0,qeta-mineta-auto-reptile-fastev,3,3000.0,0.03840326118181818,0.0,0.0,7031.122076753185,15.361304472727273,123591.70216122278,17.577805191882963,6.866330153079282
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,0,0,270018000000,792000000,100,XKBLAS,1,1600.0,0.08251191245454545,0.0,0.0,3275.2456567234412,33.004764981818184,26840.925348464803,8.188114141808603,3.1984820866439856
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,0,0,270018000000,792000000,100,cuBLASXt,0,-1.0,0.22958886500000003,0.0,0.0,1176.2407116999625,91.835546,3459.286931267913,2.940601779249906,1.1486725700194946
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,0,0,270018000000,792000000,100,qeta-mineta-auto-reptile-fastev,3,3000.0,0.035267914,0.0,0.0,7656.196134581131,14.107165599999998,146543.38444725174,19.14049033645283,7.476754037676886
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,-1,-1,0,0,270018000000,792000000,100,taco-paralia-1.5-fixed-streams,2,1500.0,0.04721641072727273,0.0,0.0,5718.794483928224,18.886564290909092,81762.41907672108,14.29698620982056,5.584760238211156
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,0,0,0,0,270018000000,792000000,111,XKBLAS,1,1600.0,0.060266733545454546,0.0,0.0,4484.896054256402,24.10669341818182,50340.68647840666,11.212240135641006,4.379781302984767
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,0,0,0,0,270018000000,792000000,111,cuBLASXt,0,-1.0,0.028600455000000004,0.0,0.0,9464.7813266442,11.440182,224518.33916799893,23.661953316610504,9.242950514300977
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,0,0,0,0,270018000000,792000000,111,qeta-mineta-auto-reptile-fastev,3,3000.0,0.016005373,0.0,0.0,16870.665356907113,6.402149199999999,711557.1189407762,42.17666339226779,16.475259137604603
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,4,2,-1,-1,270018000000,792000000,35,taco-paralia-1.5-fixed-streams,2,1500.0,0.02050395672727273,0.0,0.0,13170.626435830169,8.20158269090909,433714.79616685305,32.926566089575424,12.8619398787404
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,4,2,-1,8,270018000000,792000000,35,XKBLAS,1,1600.0,0.08827777545454545,0.0,0.0,3063.4499188217906,35.31111018181818,23497.522470838856,7.658624797054477,2.991650311349405
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,4,2,-1,9,270018000000,792000000,35,cuBLASXt,0,-1.0,0.075472474,0.0,0.0,3583.348458540361,30.188989600000003,32152.273530455655,8.958371146350903,3.4993637290433215
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,4,2,7,7,270018000000,792000000,835,XKBLAS,1,1600.0,0.09001438390909092,0.0,0.0,3006.136947142745,36.00575356363636,22638.01950225286,7.515342367856862,2.935680612444087
1,1,-1, N,N,1.2345,1.1154,3000,3000,15000,4,2,7,7,270018000000,792000000,835,cuBLASXt,0,-1.0,0.07680282699999999,0.0,0.0,3524.0745584359147,30.721130799999997,31119.62009661427,8.810186396089787,3.441479060972573
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,-1,-1,540018000000,1512000000,0,taco-paralia-1.5-fixed-streams,2,1500.0,0.10058457927272726,0.0,0.0,5369.007045101117,40.23383170909091,72068.3872991495,13.422517612752792,5.24317094248156
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,-1,8,540018000000,1512000000,0,XKBLAS,1,1600.0,0.15444786454545456,0.0,0.0,3498.0396296293156,61.77914581818182,30604.545594202904,8.74509907407329,3.4160543258098786
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,-1,9,540018000000,1512000000,0,cuBLASXt,0,-1.0,0.39654994545454547,0.0,0.0,1361.8009780457007,158.61997818181817,4636.289992252509,3.404502445114252,1.3298837676227546
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,-1,9,540018000000,1512000000,0,qeta-mineta-auto-reptile-fastev,3,3000.0,0.07363206463636364,0.0,0.0,7334.006297650148,29.452825854545456,134469.12734478276,18.335015744125368,7.162115525048972
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,0,0,540018000000,1512000000,100,XKBLAS,1,1600.0,0.15056434454545453,0.0,0.0,3587.873738317973,60.22573781818181,32193.203162853242,8.969684345794933,3.5037829475761457
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,0,0,540018000000,1512000000,100,cuBLASXt,0,-1.0,0.42980351,0.0,0.0,1256.5658718157206,171.921404,3947.8200540582557,3.1414146795393014,1.2271151091950396
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,0,0,540018000000,1512000000,100,qeta-mineta-auto-reptile-fastev,3,3000.0,0.07047121549999999,0.0,0.0,7662.9586813150745,28.1884862,146802.34280357228,19.157396703287688,7.483358087221752
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,-1,-1,0,0,540018000000,1512000000,100,taco-paralia-1.5-fixed-streams,2,1500.0,0.09566587754545454,0.0,0.0,5645.362570725536,38.266351018181815,79682.65718757713,14.11340642681384,5.513049385474156
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,0,0,0,0,540018000000,1512000000,111,XKBLAS,1,1600.0,0.09033778372727272,0.0,0.0,5981.054689742453,36.13511349090909,89480.07293154372,14.952636724356134,5.840873720451614
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,0,0,0,0,540018000000,1512000000,111,cuBLASXt,0,-1.0,0.043252923,0.0,0.0,12494.476010284412,17.301169199999997,390560.3434239685,31.236190025711032,12.201636728793371
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,0,0,0,0,540018000000,1512000000,111,qeta-mineta-auto-reptile-fastev,3,3000.0,0.031901478,0.0,0.0,16927.680111676324,12.760591199999999,716365.9043797866,42.31920027919081,16.53093760905891
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,4,2,-1,-1,540018000000,1512000000,35,taco-paralia-1.5-fixed-streams,2,1500.0,0.037211851727272725,0.0,0.0,14512.422785621335,14.884740690909092,526541.7338799579,36.28105696405334,14.172287876583335
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,4,2,-1,8,540018000000,1512000000,35,XKBLAS,1,1600.0,0.15526610363636364,0.0,0.0,3479.7123994382014,62.106441454545454,30285.680321508866,8.699280998595503,3.3981566400763685
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,4,2,-1,9,540018000000,1512000000,35,cuBLASXt,0,-1.0,0.211850585,0.0,0.0,4918.342005211771,84.74023400000002,63399.95034791187,12.295855013029428,4.80306836446462
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,4,2,7,7,540018000000,1512000000,835,XKBLAS,1,1600.0,0.15695485454545455,0.0,0.0,3442.08138584029,62.78194181818182,29632.563070617645,8.605203464600724,3.361407603359658
1,1,-1, N,N,1.2345,1.1154,3000,3000,30000,4,2,7,7,540018000000,1512000000,835,cuBLASXt,0,-1.0,0.10368889,0.0,0.0,5209.01727706512,41.475556,67847.23396085891,13.022543192662798,5.086930934633906
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,-1,-1,1099645845504,1610612736,0,taco-paralia-1.5-fixed-streams,2,2048.0,0.10906327545454544,0.0,0.0,10082.877448231437,43.625310181818186,254167.0124563962,25.20719362057859,9.846560008038512
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,-1,8,1099645845504,1610612736,0,XKBLAS,1,1600.0,0.22394416,0.0,0.0,4912.6197550671,89.577664,60361.64950314685,12.28154938766775,4.797480229557715
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,-1,9,1099645845504,1610612736,0,cuBLASXt,0,-1.0,0.29263333999999996,0.0,0.0,3757.7836752382145,117.05333599999999,35302.56761536939,9.394459188095537,3.669710620349819
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,-1,9,1099645845504,1610612736,0,qeta-mineta-auto-reptile-fastev,3,4096.0,0.09256791663636363,0.0,0.0,11879.345223268245,37.027166654545454,352797.23337666265,29.698363058170607,11.600923069597895
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,0,0,1099645845504,1610612736,100,XKBLAS,1,1600.0,0.1909439890909091,0.0,0.0,5761.828453228968,76.37759563636364,83037.38740034969,14.40457113307242,5.626785598856414
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,0,0,1099645845504,1610612736,100,cuBLASXt,0,-1.0,0.28984312,0.0,0.0,3794.6045201993024,115.937248,36003.90339136723,9.486511300498256,3.7056684767571313
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,0,0,1099645845504,1610612736,100,qeta-mineta-auto-reptile-fastev,3,2048.0,0.071512568,0.0,0.0,15377.835834491547,28.605027200000002,591228.2864107958,38.44458958622887,15.017417807120651
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,-1,-1,0,0,1099645845504,1610612736,100,taco-paralia-1.5-fixed-streams,2,2048.0,0.09137384109090908,0.0,0.0,12036.514601774006,36.54953643636364,362252.3534613452,30.09128650443502,11.754408790794928
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,0,0,0,0,1099645845504,1610612736,111,XKBLAS,1,1600.0,0.13770783727272726,0.0,0.0,7993.451524082739,55.08313490909091,159901.35884754386,19.983628810206845,7.806105003987049
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,0,0,0,0,1099645845504,1610612736,111,cuBLASXt,0,-1.0,0.071019079,0.0,0.0,15490.958821696122,28.407631600000002,600197.8913120858,38.727397054240306,15.127889474312619
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,0,0,0,0,1099645845504,1610612736,111,qeta-mineta-auto-reptile-fastev,3,4096.0,0.0623903155,0.0,0.0,17625.26517485719,24.9561262,776624.9379384324,44.063162937142984,17.212173022321476
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,0,0,0,0,1099645845504,1610612736,111,taco-paralia-1.5-fixed-streams,2,2048.0,0.06345458000000001,0.0,0.0,17329.674690251497,25.381832,750795.0057751724,43.32418672562874,16.923510439698727
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,4,2,-1,-1,1099645845504,1610612736,35,taco-paralia-1.5-fixed-streams,2,2048.0,0.07109124,0.0,0.0,15468.242061080184,28.436496,598172.0448482364,38.67060515270046,15.105705137773617
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,4,2,-1,8,1099645845504,1610612736,35,XKBLAS,1,1600.0,0.22091585454545454,0.0,0.0,4981.082171516465,88.36634181818182,62070.666344944395,12.452705428791159,4.864338058121548
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,4,2,-1,9,1099645845504,1610612736,35,cuBLASXt,0,-1.0,0.132572625,0.0,0.0,8302.8940315476,53.02905,172515.68778492944,20.757235078868998,8.108294952683202
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,4,2,7,7,1099645845504,1610612736,835,XKBLAS,1,1600.0,0.23599701727272726,0.0,0.0,4664.780123760779,94.39880690909091,54460.1738949487,11.661950309401947,4.555449339610136
1,1,-1, N,N,1.2345,1.1154,8192,8192,8192,4,2,7,7,1099645845504,1610612736,835,cuBLASXt,0,-1.0,0.11895293,0.0,0.0,9249.850025918491,47.581172,214028.5148244604,23.12462506479623,9.033056665936027
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,-1,-1,200200000000,960000000,0,taco-paralia-1.5-fixed-streams,2,1000.0,0.0858636660909091,0.0,0.0,2331.9624342003262,34.34546643636364,13597.167876025847,5.829906085500816,2.277307064648756
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,-1,8,200200000000,960000000,0,XKBLAS,1,1600.0,0.13445986636363635,0.0,0.0,1490.283032537242,53.78394654545455,5557.362588826109,3.725707581343105,1.4553545239621504
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,-1,9,200200000000,960000000,0,cuBLASXt,0,-1.0,0.7785143518181818,0.0,0.0,263.2910587367342,311.4057407272727,175.22906734702588,0.6582276468418355,0.257120174547592
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,-1,9,200200000000,960000000,0,qeta-mineta-auto-reptile-fastev,3,1000.0,0.07508335090909092,0.0,0.0,2666.3816905843337,30.033340363636366,17774.055767576076,6.665954226460834,2.6038883697112634
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,0,0,200200000000,960000000,100,XKBLAS,1,1600.0,0.06200606209090909,0.0,0.0,3231.082168705791,24.802424836363638,26119.626277929437,8.077705421764477,3.155353680376749
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,0,0,200200000000,960000000,100,cuBLASXt,0,-1.0,0.6458602449999999,0.0,0.0,309.9802742231969,258.344098,240.2241424001053,0.7749506855579922,0.3027151115460907
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,0,0,200200000000,960000000,100,qeta-mineta-auto-reptile-fastev,3,1000.0,0.016301739500000002,0.0,0.0,12281.015923552708,6.5206958,377062.01924964756,30.702539808881774,11.993179612844441
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,-1,-1,0,0,200200000000,960000000,100,taco-paralia-1.5-fixed-streams,2,1000.0,0.01858590081818182,0.0,0.0,10772.456021761585,7.434360327272727,290137.2144695426,26.93114005440396,10.519976583751548
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,0,0,0,0,200200000000,960000000,111,XKBLAS,1,1600.0,0.05068820172727273,0.0,0.0,3962.410441627797,20.27528069090909,39368.079312783324,9.906026104069493,3.8695414469021454
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,0,0,0,0,200200000000,960000000,111,cuBLASXt,0,-1.0,0.090935004,0.0,0.0,2202.6830636498194,36.3740016,12135.471288246921,5.506707659124548,2.1510576793455267
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,0,0,0,0,200200000000,960000000,111,qeta-mineta-auto-reptile-fastev,3,1000.0,0.013661299500000001,0.0,0.0,14654.885423899648,5.4645198,536927.0734431051,36.63721355974912,14.311411546777
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,4,2,-1,-1,200200000000,960000000,35,taco-paralia-1.5-fixed-streams,2,1000.0,0.07653742927272728,0.0,0.0,2615.7530753874544,30.614971709090913,17105.668257707246,6.539382688468636,2.554446362683061
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,4,2,-1,8,200200000000,960000000,35,XKBLAS,1,1600.0,0.13763949727272728,0.0,0.0,1456.6539351485596,55.05579890909091,5312.492818406885,3.6416348378713987,1.4225136085435153
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,4,2,-1,9,200200000000,960000000,35,cuBLASXt,0,-1.0,0.21046170000000003,0.0,0.0,951.3888393763102,84.18468,2263.20327816141,2.3784720984407755,0.929090663453428
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,4,2,-1,9,200200000000,960000000,35,qeta-mineta-auto-reptile-fastev,3,1000.0,0.070501865,0.0,0.0,2839.6416111283525,28.200746,20158.914171757806,7.099104027820881,2.7730875108675317
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,4,2,7,7,200200000000,960000000,835,XKBLAS,1,1600.0,0.14624803545454546,0.0,0.0,1370.8710055624215,58.49921418181818,4704.951240875137,3.427177513906053,1.3387412163695522
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,4,2,7,7,200200000000,960000000,835,cuBLASXt,0,-1.0,0.16287376,0.0,0.0,1229.8763404995314,65.14950400000001,3783.6213732510164,3.0746908512488282,1.2010511137690736
1,1,-1, N,N,1.2345,1.1154,10000,10000,1000,4,2,7,7,200200000000,960000000,835,qeta-mineta-auto-reptile-fastev,3,1000.0,0.014188433,0.0,0.0,14110.263817783562,5.6753732,497755.1946590985,35.275659544458904,13.77955450955426
1,1,-1, N,N,1.2345,1.1154,10000,10000,2000,-1,-1,-1,-1,400200000000,1120000000,0,taco-paralia-1.5-fixed-streams,2,1250.0,0.08636301181818182,0.0,0.0,4634.517950060683,34.545204727272726,53703.64124708416,11.586294875151706,4.5258964356061355
1,1,-1, N,N,1.2345,1.1154,10000,10000,2000,-1,-1,-1,8,400200000000,1120000000,0,XKBLAS,1,1600.0,0.15726518636363634,0.0,0.0,2551.1924854577155,62.906074545454544,16310.526080495405,6.377981213644288,2.4913989115798003
1,1,-1, N,N,1.2345,1.1154,10000,10000,2000,-1,-1,-1,9,400200000000,1120000000,0,cuBLASXt,0,-1.0,0.5395291645454545,0.0,0.0,741.7698367706174,215.81166581818184,1375.5784049298748,1.8544245919265436,0.7243846062213061
1,1,-1, N,N,1.2345,1.1154,10000,10000,2000,-1,-1,-1,9,400200000000,1120000000,0,qeta-mineta-auto-reptile-fastev,3,2000.0,0.06953839854545454,0.0,0.0,5755.1097380866095,27.815359418181817,82803.45099614178,14.387774345216524,5.620224353600205
1,1,-1, N,N,1.2345,1.1154,10000,10000,2000,-1,-1,0,0,400200000000,1120000000,100,XKBLAS,1,1600.0,0.09239842672727272,0.0,0.0,4340.802146134063,36.95937069090909,47200.28259153757,10.852005365335158,4.239064595834046
1,1,-1, N,N,1.2345,1.1154,10000,10000,2000,-1,-1,0,0,400200000000,1120000000,100,cuBLASXt,0,-1.0,0.54098964,0.0,0.0,739.8400764846984,216.395856,1368.5651892909461,1.8496001912117461,0.7225000746920883
1,1,-1, N,N,1.2345,1.1154,10000,10000,2000,-1,-1,0,0,400200000000,1120000000,100,qeta-mineta-auto-reptile-fastev,3,1000.0,0.029807376000000003,0.0,0.0,13426.209809230559,11.9229504,450657.8692366844,33.5655245230764,13.111533016826717
